Title,Doi,Publisher Name,Journal Title,License,Total Amount,Payment Year,Payment Date,Institution,Institution grid id
Effects of spatial and temporal variability in surface  water inputs on streamflow generation and  cessation in the rain–snow transition zone,10.5194/hess-26-2779-2022,European Geosciences Union,Hydrology and Earth System Sciences,CC-BY 4.0,1762.476,2022,2022-06-09,0396B61E-18C7-4581-B685-25E2F7F2F29E,NA
Advances in the Subseasonal Prediction of Extreme Events: Relevant Case Studies across the Globe,10.1175/BAMS-D-20-0221.1,American Meteorological Society,Bulletin of the American Meteorological Society,NA,3699.768,2022,2022-07-28,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Differentiation of Xanthomonas hortorum – Xanthomonas hydrangeae species complex using sensitive and selective LAMP assays,10.3389/fagro.2022.898778,Frontiers Media,Frontiers in Agronomy,CC-BY 4.0,1983.425,2022,2022-05-23,515AF150-92B2-47B0-A615-DBE775854A32,grid.19739.35
Sex-dependent influence of maternal predictors on fetal anthropometry in pregnancies with Gestational Diabetes Mellitus,10.1186/s12884-022-04767-z,BioMed Central,BMC Pregnancy and Childbirth,CC-BY 4.0,2505.305,2022,2022-05-30,ORG20754,grid.9851.5
Passive Sampling Tool for Actinides in Spent Nuclear Fuel Pools,10.1021/acsomega.2c01884,American Chemical Society,ACS Omega,CC-BY 4.0,1204.239,2022,2022-05-30,ORG20754,grid.9851.5
Videooculography “HINTS” in Acute Vestibular Syndrome: A Prospective Study,10.3389/fneur.2022.920357,Frontiers Media,Frontiers in Neurology,CC-BY 4.0,3078.634,2022,2022-07-05,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Alveolar basal cells differentiate towards secretory epithelial- and aberrant basaloid-like cells in vitro,10.3390/cells11111820,MDPI,Cells,NA,1895.52,2022,2022-06-16,ORG45610,grid.6612.3
Scattering phase delay and momentum transfer of light in disordered media,NA,American Physical Society,Physical Review Research,NA,2485.46,2022,2022-06-09,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
Short- and long-distance avian migrants differ in exercise endurance but not aerobic capacity,10.1186/s40850-022-00134-9,BioMed Central,BMC Zoology,NA,1643.18,2022,2022-06-16,Swiss Ornithological Institute,grid.419767.a
Optogenetic actuator - ERK biosensor circuits identify MAPK network nodes that shape ERK dynamics,NA,EMBO Press,Molecular Systems Biology,NA,5296.179,2022,2022-06-16,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Automatic Detection of High-Frequency Oscillations With Neuromorphic Spiking Neural Networks.,10.3389/fnins.2022.861480,Frontiers Media,Frontiers in Neuroscience,CC-BY 4.0,3120.666,2022,2022-06-09,ORG63170,grid.7400.3
Photoresponsive Nanocarriers Based on Lithium Niobate Nanoparticles for Harmonic Imaging and On-Demand Release of Anticancer Chemotherapeutics,10.1021/acsnanoscienceau.1c00044,American Chemical Society,ACS Nanoscience Au,CC-BY 4.0,3928.887,2022,2022-06-09,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Sleep disturbance after acute coronary syndrome: A longitudinal study over 12 months.,10.1371/journal.pone.0269545,Public Library of Science,PLoS ONE,CC-BY 4.0,1758.6,2022,2022-06-16,0396B61E-18C7-4581-B685-25E2F7F2F29E,NA
Catalytic activity imperative for nanoparticle dose enhancement in photon and proton therapy,NA,Nature Research,Nature Communications,CC-BY 4.0,5273.26,2022,2022-06-16,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
On the semantic representation of risk,NA,American Association for the Advancement of Science,Science Advances,CC-BY 4.0,3756.998,2022,2022-06-09,ORG45610,grid.6612.3
Lower risk of peripheral venous catheter-related bloodstream infection by hand insertion.,10.1186/s13756-022-01117-8,BioMed Central,Antimicrobial Resistance and Infection Control,UNKNOWN,2728.495,2022,2022-05-30,University of Geneva,grid.8591.5
Structural differences in the semantic networks of younger and older adults,NA,Nature Research,Scientific Reports,CC-BY 4.0,1972.608,2022,2022-06-16,ORG45610,grid.6612.3
Small but Powerful: The Human Vault RNAs as Multifaceted Modulators of Pro-Survival Characteristics and Tumorigenesis.,10.3390/cancers14112787,MDPI,Cancers,CC-BY 4.0,2067.84,2022,2022-06-09,University of Bern,grid.5734.5
COMMUNITY-BASED CARE MODELS FOR ARTERIAL HYPERTENSION MANAGEMENT IN NON-PREGNANT ADULTS IN SUB-SAHARAN AFRICA: A LITERATURE SCOPING REVIEW AND FRAMEWORK FOR DESIGNING CHRONIC SERVICES,10.1186/s12889-022-13467-4,BioMed Central,BMC Public Health,CC-BY 4.0,2831.873,2022,2022-05-23,ORG45610,grid.6612.3
Using Consumer-Wearable Activity Trackers for Risk Prediction of Life-Threatening Heart Arrhythmia: An Exploratory Observational Study,NA,MDPI,Journal of Personalized Medicine,CC-BY 4.0,1672.339,2022,2022-07-05,ORG1032151,grid.8591.5
Tissue-specific inhibition of protein sumoylation uncovers diverse SUMO functions during C. elegans vulval development.,10.1371/journal.pgen.1009978,Public Library of Science,PLoS Genetics,CC-BY 4.0,2308.175,2023,2023-10-23,University of Zurich,grid.7400.3
Impact of the Covid-19 pandemic on the well-being of adolescents and their parents in Switzerland,NA,MDPI,International Journal of Environmental Research and Public Health,CC-BY 4.0,2154,2022,2022-06-16,ORG20754,grid.9851.5
Estrogen receptor positive breast cancers have patient specific hormone sensitivities and rely on progesterone receptor,10.1038/s41467-022-30898-0,Nature Research,Nature Communications,CC-BY 4.0,5395.1,2022,2022-11-29,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Coupling of growth rate and developmental tempo reduces body size heterogeneity in C. elegans,10.1038/s41467-022-29720-8,Nature Research,Nature Communications,NA,5329.92,2022,2022-05-23,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Arbuscular mycorrhizal fungi prevent the negative effect of drought and modulate the growth‐defence trade‐off in tomato plants,10.1002/sae2.12018,Wiley Open Access,Journal of Sustainable Agriculture and Environment,CC-BY 4.0,2030.23,2022,2022-06-16,26D0DC5C-BF7F-4BAB-8258-ACAC1D53B490,NA
"Revisiting Education: On the Role of Imagination, Intuition, and Other “Gifts” for Open Scholars",10.3389/feduc.2022.846882,Frontiers Media,Frontiers in Education,CC-BY 4.0,1007.037,2022,2022-06-16,ORG1032151,grid.8591.5
Spin wave stiffness and damping in a frustrated chiral helimagnet Co$_8$Zn$_8$Mn$_4$ as measured by small-angle neutron scattering,NA,American Physical Society,Physical Review Research,NA,2556.24,2022,2022-06-16,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
Dual chirped microcomb based parallel ranging at megapixel-line rates,10.1038/s41467-022-30542-x,Nature Research,Nature Communications,CC-BY 4.0,5404.1,2022,2022-10-26,3B01C38F-53EF-444F-BE6C-D8DADD4209F4,NA
Right Inferior Frontal Activation During Alcohol-Specific Inhibition Increases With Craving and Predicts Drinking Outcome in Alcohol Use Disorder.,10.3389/fpsyt.2022.909992,Frontiers Media,Frontiers in Psychiatry,CC-BY 4.0,3069.117,2022,2022-07-28,University of Bern,grid.5734.5
Linking unfolded protein response to ovarian cancer cell fusion,10.1186/s12885-022-09648-4,BioMed Central,BMC Cancer,CC-BY 4.0,2321.686,2022,2022-05-23,ORG1032151,grid.8591.5
An interventional quasi-experimental study to evaluate the impact of a rapid screening strategy in improving control of nosocomial extended-spectrum beta-lactamase producing Enterobacterales and carbapenemase-producing organisms in critically ill patients,10.1186/s13054-022-04027-8,BioMed Central,Critical Care,CC-BY 4.0,3509.657,2022,2022-05-30,ORG1032151,grid.8591.5
Potential of Oscheius tipulae nematodes as biological control agents against Ceratitis capitata.,10.1371/journal.pone.0269106,Public Library of Science,PLoS ONE,CC-BY 4.0,1712.188,2022,2022-09-08,5972A289-A8D0-497B-B3C5-8A5F3519F57A,grid.10711.36
Elucidating the Role of O2 uncoupling in the Oxidative Biodegradation of Organic Contaminants by Rieske Non-Heme Iron Dioxygenases,10.1021/acsenvironau.2c00023,American Chemical Society,ACS Environmental Au,CC-BY 4.0,3853.936,2022,2022-06-23,FC0D52E4-0904-44B5-B64E-CC2F625D0CB3,NA
Single-Photon Storage in a Ground-State Vapor Cell Quantum Memory,10.1103/prxquantum.3.020349,American Physical Society,PRX Quantum,CC-BY 4.0,3431.36,2022,2022-06-16,University of Basel,grid.6612.3
Efficient XUV-light out-coupling of intra-cavity high harmonics by a coated grazing-incidence plate,10.1364/oe.458946,Optica Publishing Group,Optics Express,UNKNOWN,1977.673,2022,2022-08-04,Université de Neuchâtel,grid.10711.36
IFN-γ–dependent tumor-antigen cross-presentation by lymphatic endothelial cells promotes their killing by T cells and inhibits metastasis,10.1126/sciadv.abl5162,American Association for the Advancement of Science,Science Advances,CC-BY-NC,4448.398,2022,2022-07-14,ORG1032151,grid.8591.5
Brain aging is faithfully modelled in organotypic brain slices and accelerated by prions,10.1038/s42003-022-03496-5,Nature Research,Communications Biology,CC-BY 4.0,3111.409,2022,2022-08-04,ORG63170,grid.7400.3
Homogeneity assessment of Swiss snow depth series: comparison of break detection capabilities of (semi-)automatic homogenization methods,10.5194/tc-16-2147-2022,European Geosciences Union,The Cryosphere,CC-BY 4.0,1173.661,2022,2022-06-23,6F50D35E-9361-4531-AF66-B3644EDD5205,NA
The ORIGIN Space Instrument for Detecting Biosignatures and Habitability Indicators on a Venus Life Finder Mission,10.3390/aerospace9060312,MDPI,Aerospace,CC-BY 4.0,1378.56,2022,2022-06-16,0396B61E-18C7-4581-B685-25E2F7F2F29E,NA
HEALTH ECONOMIC EVALUATION OF A NURSE-LED CARE MODEL FROM THE NURSING HOME PERSPECTIVE FOCUSING ON RESIDENTS’ HOSPITALISATIONS,10.1186/s12877-022-03182-5,BioMed Central,BMC Geriatrics,CC-BY 4.0,2581.591,2022,2022-06-16,ORG45610,grid.6612.3
Protocol for multicenter comparison of interictal high frequency oscillations as a predictor of seizure freedom,10.1093/braincomms/fcac151,Oxford University Press,Brain Communications,CC-BY 4.0,3378.307,2022,2022-06-16,ORG63170,grid.7400.3
Building separable approximations for quantum states via neural networks,NA,American Physical Society,Physical Review Research,NA,2609.55,2022,2022-06-16,ORG1032151,grid.8591.5
Investigation of Lasing in Highly Strained Germanium at the Crossover to Direct Band Gap,NA,American Physical Society,Physical Review Research,NA,2578.05,2022,2022-06-23,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
Primary human trophoblasts mimic the preeclampsia phenotype after acute hypoxia-reoxygenation insult,NA,MDPI,Cells,CC-BY 4.0,1895.52,2022,2022-06-16,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
"Small animals, big impact? Early farmers and pre- and post-harvest pests from the Middle Neolithic site of Les Bagnoles in SouthEastSouthern-East France (L’Isle-sur-la-Sorgue, Dép. Vaucluse, Région Provence-Alpes-Côte-d’Azur)",NA,MDPI,Animals,CC-BY 4.0,1453.95,2022,2022-06-16,ORG45610,grid.6612.3
Detection of quantum-vacuum field correlations outside the light cone.,10.1038/s41467-022-31081-1,Nature Research,Nature Communications,CC-BY 4.0,5273.26,2022,2022-06-16,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Intact Drosophila central nervous system cellular quantitation reveals sexual dimorphism,10.7554/eLife.74968,eLife Sciences Publications,eLife,CC-BY 4.0,2951.303,2022,2022-06-16,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
40S hnRNP particles are a novel class of nuclear biomolecular condensates,10.1093/nar/gkac457,Oxford University Press,Nucleic Acids Research,CC-BY-NC,3438.648,2023,2023-03-13,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
"Susceptibility and Severity of COVID-19 Are Both Associated With Lower Overall Viral-Peptide Binding Repertoire of HLA Class I Molecules, Especially in Younger People.",10.3389/fimmu.2022.891816,Frontiers Media,Frontiers in Immunology,CC-BY 4.0,3078.634,2022,2022-07-05,University of Geneva,grid.8591.5
Data on the response of Zea Mays L. and soil moisture content to tillage and soil amendments in the subhumid tropics,10.1016/j.dib.2022.108381,Elsevier,Data in Brief,CC-BY-NC-ND,454.9102,2022,2022-09-15,61D86A6D-66D7-487D-A257-2C6B2BFC96F8,grid.424520.5
In- and Out-Group Effects on Social Perception and Empathy in Cocaine Use Disorder.,10.3389/fpsyt.2022.879016,Frontiers Media,Frontiers in Psychiatry,CC-BY 4.0,3127.116,2022,2022-06-16,ORG63170,grid.7400.3
The effect of pore microstructure on strength and chloride ingress in blended cement based on low kaolin clay,10.1016/j.cscm.2022.e01242,Elsevier,Case Studies in Construction Materials,CC-BY-NC-ND,654.8692,2022,2022-08-25,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
"Change in colorectal cancer (CRC) testing rates associated with the introduction of the first organized screening program in canton Uri, Switzerland: Evidence from insurance claims data analyses from 2010 to 2018",10.1016/j.pmedr.2022.101851,Elsevier,Preventive Medicine Reports,CC-BY 4.0,2188.802,2022,2022-06-23,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Towards a general approach for tailoring the hydrophobic binding site of phenylalanine ammonia-lyases,NA,Nature Research,Scientific Reports,CC-BY 4.0,2141.235,2022,2022-06-16,B714DB93-4109-4497-A05E-DD6BA0252AED,NA
"Brain Stimulation and Group Therapy to Improve Gesture and Social Skills in Schizophrenia-The Study Protocol of a Randomized, Sham-Controlled, Three-Arm, Double-Blind Trial.",10.3389/fpsyt.2022.909703,Frontiers Media,Frontiers in Psychiatry,CC-BY 4.0,3064.085,2022,2022-06-23,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
"The compatibility of circularity and national dietary recommendations for animal products: a modelling analysis on nutritional feasibility, climate impact, and land use",10.1016/S2542-5196(22)00119-X,Elsevier,The Lancet Planetary Health,CC-BY-NC-ND,4552.9,2022,2022-08-25,61D86A6D-66D7-487D-A257-2C6B2BFC96F8,grid.424520.5
ERUO: a spectral processing routine for the Micro Rain Radar PRO (MRR-PRO),10.5194/amt-15-3569-2022,Copernicus Publications,Atmospheric Measurement Techniques,CC-BY 4.0,1843.391,2022,2022-07-05,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Deciphering the origins and fates of steroidogenic lineages in the mouse testis,10.1016/j.celrep.2022.110935,Cell Press,Cell Reports,CC-BY-NC-ND,4924.805,2022,2022-06-23,ORG1032151,grid.8591.5
Gliadin-reactive vitamin D-sensitive proinflammatory ILCPs are enriched in celiac patients,10.1016/j.celrep.2022.110956,Cell Press,Cell Reports,CC-BY-NC-ND,4745.888,2022,2022-07-28,ORG1032151,grid.8591.5
Effects of animal-assisted psychotherapy incorporating mindfulness and self-compassion in neurorehabilitation: A randomized controlled feasibility trial,NA,Nature Research,Scientific Reports,NA,2141.235,2022,2022-06-16,ORG45610,grid.6612.3
In-situ Tuning of the Electric Dipole Strength of a Double Dot Charge Qubit: Charge Noise Protection and Ultra Strong Coupling,NA,American Physical Society,Physical Review X,CC-BY 4.0,3934.684,2022,2022-06-16,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
"Androglobin, a chimeric mammalian globin, is required for male fertility.",10.7554/elife.72374,eLife Sciences Publications,eLife,CC-BY 4.0,2951.303,2022,2022-06-16,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
The PLEKHA7–PDZD11 complex regulates the localization of the calcium pump PMCA and calcium handling in cultured cells,10.1016/j.jbc.2022.102138,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,CC-BY 4.0,2309.665,2022,2022-07-28,ORG1032151,grid.8591.5
Gait Speed as a Biomarker of Cognitive Vulnerability: A Population-Based Study with Cognitively Normal Older Adults,10.3390/su14127348,MDPI,Sustainability,CC-BY 4.0,1723.2,2022,2022-07-05,0396B61E-18C7-4581-B685-25E2F7F2F29E,NA
A single respiratory tract infection early in life reroutes healthy microbiome development and affects adult metabolism in a preclinical animal model,NA,Nature Research,npj Biofilms and Microbiomes,NA,1510.273,2022,2022-06-23,ORG1032151,grid.8591.5
COVID-19-Related Health Literacy of Socioeconomically Vulnerable Migrant Groups,10.3389/ijph.2022.1604664,Frontiers Media,International Journal of Public Health,CC-BY 4.0,2477.1,2022,2022-05-18,University of Neuchâtel,grid.10711.36
"Highly time-resolved chemical speciation and source apportionment of organic aerosol components in Delhi, India, using extractive electrospray ionization mass spectrometry",10.5194/acp-22-7739-2022,Copernicus Publications,Atmospheric Chemistry and Physics,CC-BY 4.0,2173.56,2022,2022-06-23,0396B61E-18C7-4581-B685-25E2F7F2F29E,NA
Understanding drivers of phylogenetic clustering and terminal branch lengths distribution in epidemics of Mycobacterium tuberculosis.,10.7554/elife.76780,eLife Sciences Publications,eLife,CC-BY 4.0,2889.06,2022,2022-06-23,ORG45610,grid.6612.3
Bonobos assign meaning to food calls based on caller food preferences.,10.1371/journal.pone.0267574,Public Library of Science,PLoS ONE,CC-BY 4.0,1721.118,2022,2022-06-16,FF7949FF-3C26-4FFA-8FE7-C95F091B67BD,grid.1005.4
p166 links membrane and intramitochondrial modules of the trypanosomal tripartite attachment complex.,10.1371/journal.ppat.1010207,Public Library of Science,PLoS Pathogens,CC-BY 4.0,2480.971,2022,2022-06-23,ORG20754,grid.9851.5
Taming the radical cation intermediate enabled one-step access to structurally diverse lignans.,10.1038/s41467-022-31000-4,Nature Research,Nature Communications,CC-BY 4.0,5046.792,2022,2022-09-08,40AD8405-EF81-4B0A-AE5A-F632086732D4,grid.5333.6
Snowfall and snow accumulation during the MOSAiC winter and spring seasons,10.5194/tc-16-2373-2022,European Geosciences Union,The Cryosphere,CC-BY 4.0,2304.239,2022,2022-07-05,École Polytechnique Fédérale de Lausanne,grid.5333.6
Reduction Kinetic of Water Soluble Metal Salts by Geobacter sulfurreducens: Fe2+\/Hemes Stabilize and Regulate Electron Flux Rates.,10.3389/fmicb.2022.909109,Frontiers Media,Frontiers in Microbiology,CC-BY 4.0,3060.838,2022,2022-05-30,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
Effectiveness of Crisis Resolution Home Treatment for the management of acute psychiatric crises in Southern Switzerland: A natural experiment based on geography,10.1186/s12888-022-04020-z,BioMed Central,BMC Psychiatry,CC-BY 4.0,2728.495,2022,2022-05-30,07C076A6-44A1-4E1C-9BE8-43DBE27AE0D5,grid.16058.3a
Possible association of 16p11.2 copy number variation with altered lymphocyte and neutrophil counts,10.1038/s41525-022-00308-x,Nature Research,npj Genomic Medicine,CC-BY 4.0,3485.8,2023,2023-04-25,ORG20754,grid.9851.5
Contribution of the Skin-Gut Axis to Immune-Related Adverse Events with Multi-System Involvement.,10.3390/cancers14122995,MDPI,Cancers,CC-BY 4.0,1869.995,2022,2022-08-04,Memorial Sloan Kettering Cancer Center,grid.51462.34
Impact of Risk Factors on Short and Long-Term Maternal and Neonatal Outcomes in Women With Gestational Diabetes Mellitus: A Prospective Longitudinal Cohort Study,10.3389/fendo.2022.866446,Frontiers Media,Frontiers in Endocrinology,CC-BY 4.0,3060.838,2022,2022-05-30,ORG20754,grid.9851.5
Visual Occipito-Temporal N1 Sensitivity to Digits Across Elementary School,10.3389/fnhum.2022.887413,Frontiers Media,Frontiers in Human Neuroscience,CC-BY 4.0,3064.085,2022,2022-06-23,ORG63170,grid.7400.3
Hotspots and drivers of compound marine heatwaves and low net primary production extremes,10.5194/egusphere-2022-451,Copernicus Publications,Biogeosciences,CC-BY 4.0,2207.176,2022,2022-12-22,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Low-noise frequency-agile photonic integrated lasers for coherent ranging,10.1038/s41467-022-30911-6,Nature Research,Nature Communications,CC-BY 4.0,5129.082,2022,2022-10-26,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Nanocomposite Concept for Electrochemical in situ Preparation of Pt-Au Alloy Nanoparticles for Formic Acid Oxidation,10.1021/jacsau.2c00335,American Chemical Society,JACS Au,CC-BY 4.0,3853.936,2022,2022-06-23,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Quantification of transgene expression in GSH AAVS1 with a novel CRISPR\/Cas9-based approach reveals high transcriptional variation,10.1016/j.omtm.2022.06.003,Cell Press,Molecular Therapy - Methods and Clinical Development,CC-BY-NC-ND,3611.523,2022,2022-06-23,ORG63170,grid.7400.3
Polynomial Mendelian randomization reveals non-linear causal effects for obesity-related traits,10.1016/j.xhgg.2022.100124,Elsevier,Human Genetics and Genomics Advances,CC-BY 4.0,2372.117,2022,2022-06-23,ORG20754,grid.9851.5
Distinct Patterns of Cognitive Outcome in Young Children With Autism Spectrum Disorder Receiving the Early Start Denver Model,10.3389/fpsyt.2022.835580,Frontiers Media,Frontiers in Psychiatry,CC-BY 4.0,3078.634,2022,2022-07-05,ORG1032151,grid.8591.5
"Cerebrospinal Fluid Cortisol and Dehydroepiandrosterone Sulfate, Alzheimer’s Disease Pathology, and Cognitive Decline",10.3389/fnagi.2022.892754,Frontiers Media,Frontiers in Aging Neuroscience,NA,3140.718,2022,2022-07-14,ORG63170,grid.7400.3
Nonacethrene Unchained: A Cascade to Chiral Contorted Conjugated Hydrocarbon with Two sp3-Defects,10.1021/jacsau.2c00190,American Chemical Society,JACS Au,CC-BY 4.0,3875.969,2022,2022-07-05,ORG63170,grid.7400.3
Cardio-metabolic and mental health outcomes before and during the COVID-19 pandemic in a cohort of women with gestational diabetes mellitus,10.3389/fendo.2022.948716,Frontiers Media,Frontiers in Endocrinology,CC-BY 4.0,3078.634,2022,2022-07-05,ORG20754,grid.9851.5
The evolutionary origins of syntax: Event cognition in nonhuman primates,10.1126/sciadv.abn8464,American Association for the Advancement of Science,Science Advances,CC-BY-NC,3685.326,2022,2022-06-23,ORG63170,grid.7400.3
High-frequency gaseous and particulate chemical characterization using extractive electrospray ionization mass spectrometry (Dual-Phase-EESI-TOF),10.5194/amt-15-3747-2022,Copernicus Publications,Atmospheric Measurement Techniques,CC-BY 4.0,1277.473,2022,2022-08-04,Paul Scherrer Institute,grid.5991.4
"Evaluation of primer pairs for eDNA-based assessment of Ephemeroptera, Plecoptera, and Trichoptera across a biogeographically diverse region",NA,Wiley Open Access,Environmental DNA,NA,2271.929,2022,2022-08-04,FC0D52E4-0904-44B5-B64E-CC2F625D0CB3,NA
"Giant orbital Hall effect and orbital-to-spin conversion in 3d, 5d, and 4f metallic heterostructures",NA,American Physical Society,Physical Review Research,NA,2546.072,2022,2022-07-05,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
"Stanniocalcin2, but Not Stanniocalcin1, Responds to Hypoxia in a HIF1-Dependent Manner in the Retina",10.3389/fnins.2022.882559,Frontiers Media,Frontiers in Neuroscience,CC-BY 4.0,3127.116,2022,2022-06-16,ORG63170,grid.7400.3
Virtual Reality as a Tool for Political Decision-Making? An Empirical Study on the Power of Immersive Images on Voting Behavior,10.3389/fcomm.2022.842186,Frontiers Media,Frontiers in Communication,CC-BY 4.0,1007.037,2022,2022-06-16,515AF150-92B2-47B0-A615-DBE775854A32,grid.19739.35
Supporting People having Lost a Close Person by Bereavement or Separation: Study Protocol of a Randomized Controlled Trial Comparing Two French-Language Internet Interventions,10.2196/39026,JMIR Publications,JMIR Research Protocols,CC-BY 4.0,1017.11,2022,2022-05-18,ORG20754,grid.9851.5
Evaluating CO2 breakthrough in a shaly caprock material: a multi-scale experimental approach,10.1038/s41598-022-14793-8,Nature Research,Scientific Reports,CC-BY 4.0,1996.792,2022,2022-08-04,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
3D tomographic analysis of the order-disorder interplay in the Pachyrhynchus congestus mirabilis weevil,NA,Wiley Open Access,Advanced Science,CC-BY 4.0,4673.267,2022,2022-07-05,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
The E3 Ubiquitin Ligase Peli1 Deficiency Promotes Atherosclerosis Progression.,10.3390/cells11132014,MDPI,Cells,CC-BY 4.0,1895.52,2022,2022-07-28,0396B61E-18C7-4581-B685-25E2F7F2F29E,NA
The Potential Tumor-Suppressor DHRS7 Inversely Correlates with EGFR Expression in Prostate Cancer Cells and Tumor Samples.,10.3390/cancers14133074,MDPI,Cancers,CC-BY 4.0,2067.84,2022,2022-07-05,ORG45610,grid.6612.3
Alpine rock glacier activity over Holocene to  modern timescales (western French Alps),10.5194/esurf-10-605-2022,Copernicus Publications,Earth Surface Dynamics,CC-BY 4.0,2690.274,2022,2022-07-05,0396B61E-18C7-4581-B685-25E2F7F2F29E,NA
Low-intensity scheduled morning exercise for adolescents with a late chronotype: a novel treatment to advance circadian phase?,10.1093/sleepadvances/zpac021,Oxford University Press,SLEEP Advances,UNKNOWN,1399.334,2022,2022-07-28,University of Basel,grid.6612.3
"Classical Music Students' Pre-performance Anxiety, Catastrophizing, and Bodily Complaints Vary by Age, Gender, and Instrument and Predict Self-Rated Performance Quality.",10.3389/fpsyg.2022.905680,Frontiers Media,Frontiers in Psychology,CC-BY 4.0,3127.116,2022,2022-06-16,University of Lausanne,grid.9851.5
Knowledge gaps in end-of-life care and planning options among older adults in Switzerland,10.3389/ijph.2022.1604676,Frontiers Media,International Journal of Public Health,NA,2477.1,2022,2022-07-14,University of Lausanne,grid.9851.5
"The Snowline and 0°C Isotherm Altitudes During Precipitation Events in the Dry Subtropical Chilean Andes as Seen by Citizen Science, Surface Stations, and ERA5 Reanalysis Data",10.3389/feart.2022.875795,Frontiers Media,Frontiers in Earth Science,CC-BY 4.0,3079.529,2022,2022-05-23,El Centro de Estudios Avanzados en Zonas Áridas (CEAZA),NA
Assessing multidimensional complexity in home care: congruencies and discrepancies between patients and nurses,10.1186/s12912-022-00942-x,BioMed Central,BMC Nursing,CC-BY 4.0,2456.936,2022,2022-06-23,8512359a-34b7-40d5-9ddf-76dca10c3035,NA
Low-dose shift- and rotation-invariant diffraction recognition imaging,NA,Nature Research,Scientific Reports,NA,2071.159,2022,2022-07-14,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
Amoxicillin-resistant Streptococcus pneumoniae can be resensitized by targeting the mevalonate pathway as indicated by sCRilecs-seq,NA,eLife Sciences Publications,eLife,CC-BY 4.0,2965.599,2022,2022-07-14,ORG20754,grid.9851.5
Identification and characterization of a new ensemble of cometary organic molecules.,10.1038/s41467-022-31346-9,Nature Research,Nature Communications,CC-BY 4.0,5242.181,2022,2022-06-23,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Vaccine-Linked Chemotherapy Approach: Additive Effects of Combining the Listeria monocytogenes-Based Vaccine Lm3Dx_NcSAG1 With the Bumped Kinase Inhibitor BKI-1748 Against Neospora caninum Infection in Mice.,10.3389/fvets.2022.901056,Frontiers Media,Frontiers in Veterinary Science,CC-BY 4.0,3064.085,2022,2022-06-23,"SALUVET, Animal Health Department, Faculty of Veterinary Sciences, Complutense University of Madrid, Madrid, Spain.",NA
Risk of SARS-CoV-2 acquisition in healthcare workers according to cumulative patient exposure and preferred mask type,10.1001/jamanetworkopen.2022.26816,American Medical Association,Jama Network Open,CC-BY 4.0,2965.599,2022,2022-07-14,CD57F5E6-4B23-4C22-9AED-31D2A8A4BC4C,grid.413349.8
Probing topological Floquet states in WSe2 using circular dichroism in time- and angle-resolved photoemission spectroscopy,10.1038/s42005-022-00944-w,Nature Research,Communications Physics,CC-BY 4.0,3136.019,2022,2022-07-14,0396B61E-18C7-4581-B685-25E2F7F2F29E,NA
Plasticity of monocytes and macrophages in cirrhosis of the liver,10.3389/fnetp.2022.937739,Frontiers Media,Frontiers in Network Physiology,CC-BY 4.0,1982.849,2022,2022-07-05,ORG45610,grid.6612.3
